OTU id	GC content	Rho scores	Rho homolog	length of U-rich sequence	Completeness	Contamination	Taxonomy					
OTU-37668	59.97172	3.20321343873518	1	4	99.15	0.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella tundricola					
OTU-36794	57.909409999999994	3.29240903954802	1	5	99.14	2.63	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_A;s__Granulicella_A mallensis					
OTU-33986	59.119060000000005	3.320426594927	1	4	99.14	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__KBS-83 sp000381585					
OTU-21764	55.557599999999994	2.74711900369004	1	5	99.14	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-89;s__					
OTU-18277	57.94574	3.01816812865499	1	4	100	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-89;s__					
OTU-38180	57.539659999999905	3.22711653543309	1	5	100	0.86	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-89;s__KBS-89 sp000381605					
OTU-41000	62.54397	3.24937248088952	1	4	100	0.86	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__					
OTU-30960	60.49141	3.29991719378954	1	5	99.57	1.93	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__					
OTU-38578	58.210989999999995	3.56629530201342	1	4	100	3.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__Silvibacterium bohemicum					
OTU-31671	57.28103	3.05534732824429	1	5	99.78	0.86	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus gabretensis					
OTU-38041	59.224109999999996	3.2123218637993	1	4	97.05	0.86	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus gaucii					
OTU-34871	59.0845	3.22616649048625	1	4	97.63	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus savannae					
OTU-35374	60.11471	3.41397179350718	1	4	98.71	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp000620725					
OTU-27554	56.45029	3.12667129629631	1	5	100	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus roseus_A					
OTU-21501	59.885999999999996	3.48829391182646	1	4	99.14	2.16	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus roseus_B					
OTU-19151	57.33471	3.3593327556326	1	5	100	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus saanensis					
OTU-40789	56.68396	2.99540015847862	1	5	100	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus sp000800015					
OTU-45556	58.383049999999905	3.38885099939431	1	5	99.95	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Koribacter;s__Koribacter versatilis					
OTU-32787	57.94492999999999	3.52739231824417	1	5	98.26	1.74	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__Bryobacter aggregatus					
OTU-36788	57.10323	3.3499036027264	1	4	97.39	0.87	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__KBS-96;s__KBS-96 sp000381625					
OTU-28408	61.902079999999906	3.47334294385432	1	4	100	0.88	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__Solibacter usitatus					
OTU-23131	61.335499999999996	3.49422023047376	1	4	95.71	2.56	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Chloracidobacteriales;f__Chloracidobacteriaceae;g__Chloracidobacterium;s__Chloracidobacterium thermophilum					
OTU-30028	59.32432	3.18170087609512	1	4	96.53	1.71	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Pyrinomonas;s__Pyrinomonas methylaliphatogenes					
OTU-26990	68.76916	4.19980253431892	1	4	99.12	0	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__Geothrix fermentans					
OTU-38991	62.88946	3.94158183632737	1	4	99.12	0.88	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__Holophaga foetida					
OTU-20796	66.79675	4.182994531784	1	3	99.15	3.47	d__Bacteria;p__Acidobacteriota;c__Mor1;o__Mor1;f__Mor1;g__Mor1;s__Mor1 sp001664505					
OTU-35465	47.581489999999896	2.46942535787321	1	5	98.29	2.14	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidithrix;s__Acidithrix ferrooxidans					
OTU-25040	55.16802	2.84021052631579	1	4	96.58	2.14	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrimicrobium;s__Ferrimicrobium acidiphilum					
OTU-38120	50.841840000000005	2.68321621621621	1	5	100	1.28	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrithrix;s__Ferrithrix thermotolerans					
OTU-28764	55.447919999999996	3.37914018691588	1	4	99.15	1.28	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256;s__IMCC26256 sp001023575					
OTU-43728	70.1043199999999	4.21111562829987	1	0	99.15	2.99	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__					
OTU-21312	67.29169999999999	4.25831034482757	1	0	99.15	1.71	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter coccineus					
OTU-25803	66.43669	4.26083005181351	1	0	99.15	2.56	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter nonamiensis					
OTU-39823	68.59000999999991	4.31768946648427	1	0	99.15	3.42	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter_A;s__					
OTU-19863	57.24766	3.45178199052132	1	4	97.44	1.28	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__IMCC26207;s__IMCC26207 sp001025035					
OTU-19089	76.93746999999999	4.17992793522268	1	0	100	0.53	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__;f__;g__;s__					
OTU-33912	66.90572	3.86961980198019	1	0	98.75	0.27	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus;s__Acidothermus cellulolyticus					
OTU-41374	51.56783	2.36040130151843	1	5	99.71	0.86	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__;s__					
OTU-44094	49.288650000000004	2.55431086956521	1	5	99.71	0.86	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__;s__					
OTU-29710	62.87625	3.19415358361774	1	3	98.26	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__;s__					
OTU-34573	60.20974999999999	3.13193103448276	1	4	100	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense					
OTU-39840	57.77504999999999	2.78979732313575	1	4	98.7	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum suis					
OTU-28222	69.37326	3.89058370535716	1	0	99.53	1.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__					
OTU-31004	69.02025	3.90177674418606	1	0	96.76	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__					
OTU-35234	68.51693	4.13105362462763	1	0	99.76	1.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__					
OTU-19431	68.76064	4.15633750000001	1	0	100	0.59	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__					
OTU-20663	71.70793	4.2347087912088	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__					
OTU-44358	71.6886199999999	4.25272247090422	1	0	100	0.95	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__					
OTU-37384	64.11856	3.84929085457272	1	3	99.53	1.54	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bovis					
OTU-41091	72.8687499999999	4.23813100081368	1	0	99.53	2.25	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis					
OTU-32236	71.1137699999999	4.37639664218261	1	0	99.49	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces denticolens					
OTU-42247	71.0842	4.3073175591532	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gaoshouyii					
OTU-38790	70.6602499999999	4.25851982758622	1	0	100	0.71	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae					
OTU-28985	68.39426	3.99969347631816	1	0	99.53	1.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces glycerinitolerans					
OTU-5243	57.47733	2.6975499207607	1	5	100	0.55	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii					
OTU-23487	71.21136	4.17071187739464	1	0	100	1.78	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii					
OTU-22986	66.86710000000001	4.15809751243784	1	0	100	1.58	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii					
OTU-2350	67.3051	4.09716780487807	1	0	99.96	2.01	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis					
OTU-16745	67.40317999999999	4.12250000000003	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii					
OTU-9827	68.4639	4.11072868217057	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A					
OTU-28358	68.47581000000001	4.18544552529185	1	0	100	0.63	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B					
OTU-25565	67.8168999999999	4.06151272384545	1	0	99.53	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C					
OTU-24548	68.05142	4.12339138576781	1	0	99.76	0.95	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_D					
OTU-31833	68.1566	4.15482639593912	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E					
OTU-21967	72.57938	4.26362722351122	1	0	100	1.9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces radicidentis					
OTU-29965	69.6621899999999	4.11313964843752	1	0	99.53	0.95	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces ruminicola					
OTU-41652	69.90424	4.2048859728507	1	0	100	0.95	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces slackii					
OTU-9526	67.4871499999999	4.15891004184103	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595					
OTU-15631	69.5087	4.22612991266378	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835					
OTU-34466	71.93614000000001	4.27464096185739	1	0	99.53	1.66	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845					
OTU-29686	66.8216899999999	3.93383796296299	1	0	99.53	1.9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp002895425					
OTU-17106	71.62612	4.12669441816464	1	0	99.29	0.71	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp002999235					
OTU-10185	68.38846	4.16787289719628	1	0	100	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp900323545					
OTU-42558	71.10024	4.27109284332691	1	0	99.76	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces timonensis					
OTU-17756	68.75789	4.03269831730771	1	0	100	1.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urogenitalis					
OTU-17848	68.65268	4.13612964728315	1	0	100	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces viscosus					
OTU-28977	53.851399999999906	3.14423854961831	1	5	98.82	1.18	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces vulturis					
OTU-18905	59.68038	3.39117814726841	1	4	97.63	2.96	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces_I;s__Actinomyces_I minihominis					
OTU-31759	61.07134	3.3218191681736	1	4	100	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__					
OTU-30894	62.1779799999999	3.35635825545171	1	3	100	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum schaalii					
OTU-35447	61.05746	3.29170515097691	1	4	99.12	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum schaalii_A					
OTU-26675	61.85876999999999	3.32264475743349	1	3	99.12	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum timonense					
OTU-30222	50.89521	2.50569784172661	1	5	99.78	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum urinale					
OTU-40228	53.13262999999991	2.77301840490797	1	5	97.99	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium haemolyticum					
OTU-27775	49.964639999999996	2.33259496567505	1	5	98.85	3.02	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium phocae					
OTU-25640	55.71947	2.2133352601156	1	5	96.55	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium_A;s__Arcanobacterium_A sp000758825					
OTU-22713	48.57493	2.08609876543209	1	5.5	99.71	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium_A;s__Arcanobacterium_A urinimassiliense					
OTU-43012	54.79477000000001	3.21548846153846	1	5	97.27	1.18	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Boudabousia;s__Boudabousia liubingyangii					
OTU-19098	54.14455	2.87074683544303	1	5	98.01	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Boudabousia;s__Boudabousia marimammalium					
OTU-39058	51.937670000000004	2.80900827814569	1	5	98.46	1.66	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Boudabousia;s__Boudabousia sp001856685					
OTU-19303	64.74126	3.86951229508196	1	3	98.75	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Bowdeniella;s__Bowdeniella nasicola					
OTU-27011	64.81126		1	3	98.75	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Bowdeniella;s__Bowdeniella nasicola_A					
OTU-31063	67.07533	3.45510576923078	1	0	99.29	1.18	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Buchananella;s__Buchananella hordeovulneris					
OTU-3403	67.50072	3.91537823129253	1	0	99.58	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332;s__F0332 sp000466165					
OTU-335	64.4159599999999	3.64768784530387	1	3	98.33	0.83	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332;s__F0332 sp001652275					
OTU-40489	60.6293699999999	3.02700854700854	1	3	99.72	0.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332;s__F0332 sp003073475					
OTU-17005	58.76123	3.26184243697478	1	4	97.27	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332;s__F0332 sp003123745					
OTU-35749	59.466010000000004	3.5489544937429	1	4	99.79	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__					
OTU-44748	65.5741799999999	3.97921693735501	1	0	99.51	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__					
OTU-20263	59.111999999999995	3.737283919598	1	4	99.51	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__Flaviflexus massiliensis					
OTU-28052	73.0400899999999	4.13407581227435	1	0	99.23	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Georgenia;s__					
OTU-40024	68.9187199999999	4.15724571428574	1	0	100	0.58	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Georgenia;s__					
OTU-43405	73.16015	4.23669138576779	1	0	100	0.58	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Georgenia;s__					
OTU-24263	72.66774000000001	4.12068454661557	1	0	100	1.16	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Georgenia;s__Georgenia soli					
OTU-33199	73.8575	4.16358546655658	1	0	99.42	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Georgenia_A;s__					
OTU-18189	72.77621999999991	4.26745889387145	1	0	100	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Georgenia_A;s__Georgenia_A satyanarayanai					
OTU-26384	49.38077	2.36837873134328	1	5	99.01	0.87	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia coleocanis					
OTU-41604	56.1885	2.73334438305708	1	5	99.05	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia europaea_A					
OTU-40059	56.643749999999905	2.83135728155339	1	5	99.53	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia europaea_B					
OTU-28542	57.00774	2.58268192771084	1	4	99.05	0.83	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia hominis					
OTU-28976	56.12416	2.78853053435114	1	5	99.53	0.47	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Gleimia;s__Gleimia urinae					
OTU-45207	72.01195	4.18629180602008	1	0	99.72	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__JB111;s__JB111 sp900163555					
OTU-33857	64.79455	3.83796065128902	1	3	98.75	0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__KH17;s__KH17 sp900199505					
OTU-7825	55.26333999999991	2.87554523809523	1	5	100	1.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii					
OTU-33027	54.959720000000004	2.8761718426501	1	4	99.53	0.95	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus mulieris					
OTU-39943	58.406530000000004	3.40086478454681	1	4	100	1.94	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__					
OTU-21033	69.56465	4.26865235173827	1	0	99.05	1.42	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__					
