otu_id	genome_id	type	study	taxonomy	rho homologs	phylum	completeness	contamination	rho scores	CDS counts	stem length	loop length	U count	number	genome size
OTU-18049	GCA_002689915.1	MAG	NCBI-MAG	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__Luminiphilus sp002689915	NZIJ01000060.1_17	Proteobacteria	79.3	1.33	2.550150183150182	1990	11.0	4.0	5.0	284.0	2063236
OTU-18051	GCF_002217925.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G mixtipabuli	.	Firmicutes	99.06	1.09	1.5901532912533827	2357	18.0	5.0	7.0	1122.0	2511119
OTU-40931	2531839188	isolate	IMG	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola arctica	BAEO01000065_197	Proteobacteria	99.33	1.82	1.7302489655172428	5201	12.0	5.0	6.0	1463.0	5964456
OTU-18052	GCF_004053875.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	NZ_SBIP01000007.1_103	Proteobacteria	99.92	0.71	3.634669069462647	5016	12.0	5.0	4.0	1528.0	5222315
OTU-18053	GCF_900097965.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus_B	NZ_FMPG01000019.1_38	Firmicutes	99.44	0.56	0.8595834782608692	2690	16.0	5.0	7.0	1162.0	2708739
OTU-36342	2548876815	isolate	IMG	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_O;s__Lactobacillus_O vini	NoneDRAFT_AHYZ01000045_1.45_7	Firmicutes	99.48	0.26	1.096082191780822	2282	15.0	5.0	8.0	681.0	2195706
OTU-18055	SRS476143_35	MAG	Nayfach et al.	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_C;s__Selenomonas_C bovis	.	Firmicutes_C	93.79	0.08	2.31516412661196	2038	15.0	4.0	5.0	876.0	2252121
OTU-18056	GCA_002425325.1	MAG	NCBI-MAG	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5578;s__UBA5578 sp002425325	.	Firmicutes	89.33	1.69	0.313310621242485	1278	12.0	4.0	10.0	510.0	1204425
OTU-87	3300013736_2	MAG	GEM	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp003523545	3300013736.a:Ga0122755_100498_1	Bacteroidota	83.88	0.0	1.6912789526686824	3664	14.0	5.0	8.0	1052.0	3947102
OTU-18057	GCA_002862585.1	MAG	NCBI-MAG	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2862585;s__GCA-2862585 sp002862585	PKDP01000097.1_5	Bacteroidota	66.38	1.25	1.310212765957447	1338	11.0	5.0	7.0	193.0	1256007
OTU-89	HMP_2012__SRS019071__bin.5	MAG	Pasolli et al.	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__	.	Patescibacteria	79.2325	0.0	1.0870735930735926	605	12.0	5.0	7.0	236.0	590826
OTU-18060	GCF_003217735.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinibacterium;s__Marinibacterium sp003217735	NZ_CP031585.1_5061	Proteobacteria	99.36	0.85	3.838980426272278	6449	13.0	4.0	3.0	2300.0	6811023
OTU-18061	SRS475986_62	MAG	Nayfach et al.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__;g__;s__	.	Firmicutes_A	81.52	1.61	0.7889289340101522	924	13.0	4.0	10.0	394.0	1123315
OTU-18062	2693429802	MAG	IMG	d__Bacteria;p__Marinisomatota;c__UBA8477;o__UBA8477;f__;g__;s__	Ga0136517_1016_4	Marinisomatota	79.3	1.8	2.7314064665127016	2512	12.0	4.0	6.0	451.0	2811444
OTU-18063	VogtmannE_2016__MMRS68630931ST-27-0-0__bin.23	MAG	Pasolli et al.	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	NODE_2429_length_7733_cov_3.37927_5	Actinobacteriota	100.0	0.806452	3.129306172839515	1831	15.0	5.0	5.0	855.0	2075687
OTU-18064	GCF_001913705.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Thalassotalea;s__Thalassotalea sp001913705	NZ_MKQD01000029.1_17	Proteobacteria	98.94	0.19	1.341714285714286	3607	12.0	5.0	7.0	1093.0	4079998
OTU-18065	2693429804	MAG	IMG	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__UBA2968;g__UBA2968;s__	Ga0136519_1296_3	Latescibacterota	84.8	1.4	3.3180215686274708	5411	13.0	5.0	5.0	1056.0	5346994
OTU-18066	2710723631	MAG	IMG	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__2-12-FULL-40-12;g__2-12-FULL-40-12;s__2-12-FULL-40-12 sp001823315	.	Patescibacteria	62.2	0.86	1.6691846153846155	577	10.5	5.0	8.0	134.0	526072
OTU-99	2718217951	isolate	IMG	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas nitritireducens_A	Ga0174872_11_2034	Proteobacteria	99.86	2.01	3.2563308900523555	3839	13.0	4.0	4.0	1910.0	4541594
OTU-16215	GCA_002730235.1	MAG	NCBI-MAG	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola;s__Litoricola sp002730235	.	Proteobacteria	83.86	3.15	2.502244565217391	2079	12.0	5.0	6.0	193.0	2099531
OTU-665	3300012182_32	MAG	GEM	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__SW-6-46-9;g__;s__	.	Patescibacteria	60.94	0.0	1.928186440677967	741	12.0	5.0	7.0	245.0	686864
OTU-27005	2523231015	isolate	IMG	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A magna	.	Firmicutes_C	100.0	0.0		2006	15.0	5.0	7.0	665.0	2203313
OTU-42343	GCF_000775415.1	isolate	NCBI-RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;s__Dermabacter hominis	NZ_KN323183.1_1886	Actinobacteriota	94.15	0.0	3.672266441821251	2241	15.0	4.0	4.0	595.0	2510630
OTU-18068	CosteaPI_2017__mickey2-11-0-0__bin.62	MAG	Pasolli et al.	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	.	Firmicutes	92.1348	0.0	0.35504565217391304	1202	12.0	5.0	9.0	465.0	1129673
OTU-110	3300013297_31	MAG	GEM	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella_B;s__	.	Bacteroidota	66.33	2.96	2.450123318385651	3433	11.0	5.0	6.0	927.0	3455798
OTU-18069	GCF_003344045.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__	NZ_QFWX01000002.1_46	Proteobacteria	99.89	0.07	3.414335585585602	3560	12.0	5.0	4.5	894.0	3811936
OTU-18070	GCF_000422645.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Ferrimonas;s__Ferrimonas futtsuensis	NZ_AUGL01000001.1_167	Proteobacteria	100.0	0.0	3.5782908318154307	3932	12.0	4.0	6.0	1651.0	4296027
OTU-18071	GCF_000422705.1	isolate	NCBI-RefSeq	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium soli	NZ_AUGO01000013.1_28	Bacteroidota	99.65	0.35	1.5989834905660378	3474	14.0	5.0	8.0	1272.0	4002854
OTU-22528	GCF_900019265.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia ribeironis	NZ_CYGX02000060.1_64	Proteobacteria	100.0	1.05	3.514689334819743	6583	13.0	5.0	3.0	2725.0	7279154
OTU-18073	GCF_900188395.1	isolate	NCBI-RefSeq	d__Bacteria;p__Aquificota;c__Desulfurobacteriia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Desulfurobacterium_A;s__Desulfurobacterium_A atlanticum	NZ_FZOB01000004.1_51	Aquificota	97.26	0.63	1.8599227467811152	1771	10.0	4.0	6.0	237.0	1739348
OTU-18074	GCF_002272135.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Terribacillus;s__Terribacillus sp002272135	NZ_NPBF01000004.1_110	Firmicutes	99.34	1.32	1.7342522460262633	4150	15.0	4.0	8.0	1480.0	3656571
OTU-18075	GCF_000257745.1	isolate	NCBI-RefSeq	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium xenopi	NZ_AJFI01000087.1_19	Actinobacteriota	99.09	1.14	3.697126136363656	4293	13.0	5.0	3.0	884.0	4434836
OTU-18076	GCF_003464355.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp900086625	NZ_QRYR01000004.1_204	Firmicutes_A	98.73	0.0	1.855909448818898	3704	16.0	5.0	6.0	1022.0	3900136
OTU-18077	2731957742	isolate	IMG	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia miyunensis	Ga0128716_1093_25,Ga0128716_1008_26	Actinobacteriota	99.67	3.14	3.801319544364452	9513	14.0	5.0	0.0	3368.0	10512560
OTU-18078	GCF_002261155.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Domibacillaceae;g__FJAT-46582;s__FJAT-46582 sp002261155	NZ_NKXN01000004.1_27	Firmicutes	98.34	2.76	1.4930213675213677	3684	15.0	5.0	7.0	1438.0	3650480
OTU-18079	2788499916	isolate	IMG	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Arabia;s__Arabia massiliensis	Ga0302944_11_1018	Actinobacteriota	99.19	0.0	3.4779294920394377	2860	14.0	4.0	4.0	1320.0	3377738
OTU-31749	2710264694	MAG	IMG	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__GWB1-50-10;g__GWA2-45-9;s__GWA2-45-9 sp001779535	.	Patescibacteria	75.59	0.0	1.4565811965811963	615	11.0	5.0	5.0	119.0	608199
OTU-18080	GCA_003520105.1	MAG	NCBI-MAG	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp003520105	.	Firmicutes_A	70.19	0.67	1.2441834862385317	1830	14.0	4.5	7.0	582.0	2035512
OTU-6713	3300026267_14	MAG	GEM	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__UBA2126 sp002730315	3300026267.a:Ga0208278_1001818_1	Marinisomatota	89.91	1.1	2.1604615384615387	1685	11.0	5.0	7.0	211.0	1832801
OTU-18081	GCF_001661075.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E silesiensis	NZ_CP014870.1_5883	Proteobacteria	99.79	1.76	3.6377709518391863	6141	13.0	4.0	4.0	2638.0	6823539
OTU-126	3300026267_11	MAG	GEM	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__;g__;s__	3300026267.a:Ga0208278_1003064_4	Marinisomatota	86.81	0.0	1.6031866666666665	1871	12.0	5.0	7.0	237.0	1938013
OTU-18082	2503283009	isolate	IMG	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera watsonii	.	Cyanobacteria	100.0	0.66	1.878223168654183	6591	11.0	4.0	6.0	1767.0	6287279
OTU-18083	GCF_001659725.1	isolate	NCBI-RefSeq	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter wuianus	NZ_CP015922.1_709	Proteobacteria	99.37	0.67	2.26234862385321	2264	11.0	4.0	6.0	436.0	2232205
OTU-18084	GCA_002415925.1	MAG	NCBI-MAG	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;s__Dietzia sp002415925	DIAZ01000057.1_17	Actinobacteriota	90.9	2.14	4.174160200250334	2987	15.0	4.0	0.0	819.0	3065071
OTU-18086	2675903240	isolate	IMG	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium iranicum_A	Ga0129282_1044_21	Actinobacteriota	100.0	0.74	3.855312893081777	6146	13.0	5.0	3.0	1283.0	6470840
OTU-18087	LiJ_2014__MH0399__bin.48	MAG	Pasolli et al.	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-605;s__	.	Firmicutes	91.0112	0.0	0.5194246913580247	1279	12.5	5.0	8.0	414.0	1245202
OTU-136	3300027976_102	MAG	GEM	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__;g__;s__	.	Patescibacteria	82.18	0.0	1.325558490566037	977	13.0	4.0	9.0	267.0	924306
OTU-18088	GCF_003595195.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__;s__	NZ_CP032418.1_518	Firmicutes	99.34	0.88	1.6565730223123736	2640	15.0	5.0	7.0	986.0	2537131
OTU-18089	GCA_003521005.1	MAG	NCBI-MAG	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__	DOTT01000021.1_11	Desulfobacterota	76.09	0.87	3.2414758497316662	3804	12.0	5.0	4.0	588.0	3778816
OTU-139	GCF_000496635.1	isolate	NCBI-RefSeq	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A indicum	NC_022794.1_2933	Firmicutes	100.0	0.0	2.253155775075998	3284	16.0	4.0	7.0	1316.0	3164195
OTU-31590	LeChatelierE_2013__MH0150__bin.4	MAG	Pasolli et al.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	.	Firmicutes_A	66.4836	1.34228	1.749601941747573	1519	14.0	5.0	7.0	353.0	1270388
OTU-143	3300012088_3	MAG	GEM	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	3300012088.a:Ga0153944_1000063_25,3300012088.a:Ga0153944_1000518_1	Firmicutes_A	84.04	4.0	1.3894129496402878	3509	14.0	5.0	6.0	722.0	3540593
OTU-18090	SRR4408054_bin.8	MAG	Almeida et al.	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__	.	Firmicutes_A	67.04	0.95	1.1892699029126204	2624	15.0	5.0	7.0	580.0	2518779
OTU-18091	2657245078	isolate	IMG	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G diolivorans	.	Firmicutes	98.94	0.62	1.4436970740103283	3075	19.0	5.0	7.0	1174.0	3239616
OTU-993	3300027917_124	MAG	GEM	d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__;s__	3300027917.a:Ga0209536_100039687_1	Margulisbacteria	78.06	1.71	3.1962380952380953	1402	12.0	5.0	6.0	111.0	1344814
OTU-18092	3300015934	SAG	IMG	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA9983;g__UBA9983;s__	.	Patescibacteria	52.83	0.0	1.416745098039216	347	12.0	5.0	6.0	51.0	304468
OTU-27244	GCA_002305355.1	MAG	NCBI-MAG	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__UBA1388;s__UBA1388 sp002305355	DBQS01000019.1_3	Patescibacteria	56.94	0.0		914	10.0	5.0	6.0	154.0	938716
