OTU id	GC content	stem length	length of U-rich sequence	# of prediction / CDS	# of prediction / KB in IGR	gene length	loop length	gene number	genome size	igr length	# downstream	# threeprime	Taxonomy
OTU-11631	38.7164	13	7	0.277	2.944	2078112	5	2121	2346412	268300	458	130	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__UBA2521;s__UBA2521 sp002341165
OTU-11632	48.9784999999999	11	6	0.138	1.889	3435876	5	2968	3712215	276339	252	157	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__GCA-2730975;s__GCA-2730975 sp002730975
OTU-117	49.89963	12	5	0.193	2.044	3018135	5	3211	3406500	388365	422	199	d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5368;g__UBA5368;s__UBA5368 sp002407865
OTU-11703	66.16718	13	4	0.357	4.613	6278406	4	6508	6978641	700235	1596	730	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Delftia;s__Delftia tsuruhatensis
OTU-11714	33.9573299999999	15	8	0.374	3.583	2159445	4	2519	2408929	249484	464	477	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus;s__Macrococcus bohemicus
OTU-1172	50.26196	12	5	0.264	4.094	3192084	4	3259	3488867	296783	640	221	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alishewanella;s__Alishewanella agri
OTU-11749	57.9505599999999	13	6	0.293	3.642	2729538	5	2837	3048907	319369	611	219	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__UBA2262 sp002841785
OTU-11773	33.41624	15	8	0.423	4.083	4363020	4	4196	4926114	563094	1357	419	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp001429295
OTU-11795	30.4789399999999	10	8	0.123	1.307	1155555	5	1525	1314750	159195	104	83	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003283415
OTU-11874	40.72446	12	6	0.351	3.974	4225104	4	4213	4714837	489733	1087	392	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas sp002685175
OTU-11885	59.49789	14	5	0.397	5.739	3104178	4	2726	3403382	299204	818	263	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
OTU-11914	49.6151299999999	11	5	0.164	2.277	2706348	5	2919	2980009	273661	357	121	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__HIMB11 sp001510135
OTU-11928	44.07252	13	6	0.187	4.105	1667805	4	1781	1775978	108173	243	90	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter cosmopolitanus
OTU-12050	39.56811	11	6	0.136	2.273	1954458	5	2176	2089938	135480	181	116	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__HIMB11 sp001627375
OTU-12104	38.67932	13	7	0.25	3.277	4600230	4	4322	5085187	484957	826	256	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466;s__UBA4466 sp002733985
OTU-12216	51.4733499999999	15	6	0.268	4.8	1386624	4	1525	1507468	120844	309	100	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__
OTU-12222	69.3848	13	0	0.21	2.954	2090139	4	2341	2259427	169288	264	228	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-875;s__
OTU-12241	49.19829	11	7	0.079	2.605	1824693	4	1814	1905321	80628	70	73	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp001512865
OTU-12266	40.5824499999999	15	7	0.39	2.928	2167779	5	2512	2701846	534067	783	196	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium;s__Ileibacterium valens
OTU-12346	26.16829	13	9	0.375	2.675	1244694	5	1460	1380789	136095	158	389	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-302;s__CAG-302 sp001916775
OTU-12349	44.33771	16	8	0.274	3.601	3074667	5	3413	3383740	309073	605	330	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae
OTU-12517	39.82964	14	7	0.393	3.149	3106584	5	3740	3556505	449921	801	670	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_V;s__Bacillus_V sp002480735
OTU-12600	32.0616299999999	14	8	0.317	2.181	2113920	5	2192	2553999	440079	472	223	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Peptoanaerobacter;s__Peptoanaerobacter yurii
OTU-12653	39.3773599999999	13	8	0.427	6.52	1712571	4	1919	1863808	151237	584	236	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__
OTU-12716	41.96178	11	6	0.128	1.251	1944042	5	2043	2255004	310962	192	70	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Bin36;s__Bin36 sp002239085
OTU-12746	52.5224099999999	15	6	0.343	4.025	1779609	4	1807	2032778	253169	481	138	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__;s__
OTU-12786	61.1821999999999	17	6	0.513	5.232	1757421	4	1877	2047572	290151	802	161	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__
OTU-12849	52.11856	12	5	0.385	6.155	2681688	4	2538	2953031	271343	682	295	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter sp900313675
OTU-12918	51.3311999999999	16	7	0.347	3.876	2325333	5	2333	2603958	278625	665	144	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1762;s__UBA1762 sp002314755
OTU-13058	50.5462699999999	11	5	0.19	2.164	2413704	5	2605	2736206	322502	359	137	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea
OTU-13061	40.1503999999999	13	7	0.404	4.273	2789268	4	2965	3164918	375650	945	254	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii
OTU-13101	42.58472	17	7	0.305	3.946	1756980	5	1590	1997245	240265	441	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
OTU-13120	26.6679399999999	15	8	0.35	3.244	1473945	5	1671	1646276	172331	266	319	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp003525075
OTU-13127	55.79475	13	5	0.408	4.54	2008617	5	2096	2289249	280632	655	200	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum parvum
OTU-13129	51.76486	14	6	0.316	3.837	3371151	4	3374	3828328	457177	860	207	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas acetoxidans
OTU-1314	36.32391	14	8	0.367	3.396	4667553	4	4821	5318634	651081	1341	430	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__
OTU-13207	47.19289	11	5	0.117	1.7	2105556	5	2555	2333848	228292	206	94	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__;g__;s__
OTU-13228	42.4703899999999	16	7	0.262	3.454	2458077	5	2556	2665084	207007	424	245	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__
OTU-13295	36.7344899999999	16	7	0.45	3.66	3965415	5	4636	4678769	713354	1390	695	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp002340205
OTU-13318	36.35985	13	8	0.412	4.726	579579	5	628	633743	54164	150	109	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__
OTU-13327	36.52426	13	8	0.397	3.798	4404258	4	4518	5007281	603023	1365	427	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp000799375
OTU-13372	45.60816	16	8	0.305	4.617	2230227	5	2471	2508735	278508	585	169	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635
OTU-13377	42.12806	16	7	0.307	3.776	2805063	5	3079	3160739	355676	704	241	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_B;s__Coprococcus_B comes
OTU-1341	50.3179899999999	15	6	0.38	2.853	1953054	4	2152	2457811	504757	549	269	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister succinatiphilus
OTU-13493	43.34286	16	7	0.319	3.906	2418087	5	2533	2722268	304181	626	182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__
OTU-13582	44.01603	12	7	0.258	4.178	2364366	4	2400	2587697	223331	411	207	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella;s__Catonella sp900314885
OTU-13697	59.04768	13	4	0.255	3.39	5040252	4	5389	5618638	578386	1071	304	d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__UBA2968;g__UBA6620;s__UBA6620 sp002433075
OTU-13710	67.5937199999999	13	4	0.374	5.191	3033210	4	3232	3332585	299375	771	437	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002386585
OTU-13720	47.52784	14	6	0.308	2.928	3035052	5	3571	3624575	589523	804	297	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfocucumaceae;g__Desulfocucumis;s__Desulfocucumis sp000961595
OTU-13738	40.49452	15	7	0.289	3.445	3086280	5	3491	3509498	423218	759	251	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans
OTU-1378	53.78265	11	5	0.369	3.857	4490106	4	4751	5080781	590675	1215	539	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__RIT-PI-d;s__
OTU-1379	53.52511	17	5	0.422	3.724	2177766	5	2184	2532787	355021	836	86	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa
OTU-13846	44.60585	13	7	0.289	3.184	2654391	5	2941	3069953	415562	649	200	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter restrictus
OTU-13876	35.53654	14	10	0.441	3.669	858588	5	891	1001682	143094	269	124	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__HOT-345;s__
OTU-13952	41.6360399999999	12	6	0.115	1.932	2222532	4	2196	2388717	166185	147	105	d__Bacteria;p__UBA8481;c__UBA8481;o__UBA8481;f__UBA8481;g__UBA8481;s__UBA8481 sp002780065
OTU-13982	71.64429	14	0	0.522	5.861	3344946	4	3349	3768430	423484	1229	519	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Fulvimonas;s__Fulvimonas soli
OTU-1404	47.61303	13	8	0.394	3.902	1685379	4	1638	1879886	194507	355	291	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU053;s__DTU053 sp001512765
OTU-1410	54.9500399999999	14	5	0.318	4.399	2199342	4	2484	2447579	248237	608	183	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp002320595
OTU-14136	62.71223	13	5	0.18	2.531	1909803	5	1749	2136957	227154	223	91	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__UBA1067;s__UBA1067 sp002440145
OTU-1428	40.70697	12	8	0.376	4.785	685281	5	739	767201	81920	213	65	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__;s__
OTU-14286	58.7668699999999	14	5	0.437	5.787	2491326	4	2569	2792015	300689	761	361	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__
OTU-14301	36.96326	11	7	0.121	2.987	909966	4	1089	957174	47208	70	62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylopumilus;s__
OTU-14328	28.0152899999999	16	8	0.382	2.811	3392691	5	3791	4102125	709434	1044	404	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F botulinum_A
OTU-14402	46.0255499999999	12	6	0.129	1.962	1258251	5	1492	1422391	164140	143	49	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA4087;g__;s__
OTU-14410	40.75563	12	7	0.145	3.055	1918467	5	1760	2026488	108021	162	94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp002292405
OTU-14472	51.6933499999999	12	5	0.241	3.437	3068193	5	2713	3372780	304587	486	169	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__HLUCCA01;g__HLUCCA01;s__HLUCCA01 sp001314545
OTU-14495	60.1142699999999	15	5	0.398	3.882	3819756	5	4033	4355525	535769	1104	501	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Thermobacillus;s__Thermobacillus composti
OTU-14514	39.93951	12	7	0.215	3.672	1544385	5	1617	1670478	126093	275	72	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__Fervidobacterium sp003526765
OTU-14517	51.1257199999999	14	7	0.354	4.759	1814553	4	1864	2002609	188056	499	160	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Pseudoramibacter;s__Pseudoramibacter sp002396065
OTU-1458	42.18342	15	7	0.247	3.043	2531211	5	2593	2818145	286934	463	178	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__
OTU-14619	31.90095	14	8	0.295	2.187	2329746	5	2529	2802927	473181	532	213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Peptoanaerobacter;s__
OTU-14662	52.5648599999999	13	5	0.136	3.997	1498605	4	1587	1572665	74060	139	77	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__;s__
OTU-14705	36.5300399999999	14	7	0.323	3.644	1760289	5	1869	1988044	227755	469	134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus stomatis
OTU-14743	64.50383	13	3	0.241	3.673	1929801	5	2080	2088530	158729	320	181	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__
OTU-14799	64.85695	11	4	0.351	4.722	3153498	4	3208	3460354	306856	753	372	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp002354605
OTU-14848	56.4659199999999	12	6	0.237	3.676	1847487	5	1696	2008243	160756	282	120	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__UBA1784;s__UBA1784 sp002314455
OTU-14864	40.97077	16	8	0.391	3.407	3410343	5	3514	3865873	455530	873	502	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D sp002850555
OTU-150	25.5539499999999	13	8	0.281	3.356	1231500	5	1255	1322677	91177	177	176	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Streptobacillus;s__
OTU-15037	56.9019799999999	11	4	0.207	1.884	4126845	5	4320	4690549	563704	668	227	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA981;s__UBA981 sp002292285
OTU-15072	36.3122199999999	14	8	0.306	3.135	2136456	6	2101	2415558	279102	462	180	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii
OTU-15166	52.14789	12	5	0.155	2.21	1468611	5	1690	1621986	153375	205	57	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__Puniceispirillum;s__
OTU-15174	47.68021	12	5	0.182	3.116	1869279	5	2149	2023622	154343	279	113	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter_A;s__Amylibacter_A sp002401045
OTU-15181	54.48976	13	6	0.323	4.082	1600359	5	1564	1785315	184956	402	103	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__
OTU-15199	63.63249	13	4	0.367	4.101	4642626	5	4864	5243971	601345	1312	471	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii
OTU-15247	59.8236	15	5	0.183	4.095	1666872	4	1889	1786765	119893	246	100	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__79-D21;g__79-D21;s__79-D21 sp000402835
OTU-15285	36.9507	13	9	0.275	3.647	1636767	5	1828	1790868	154101	308	195	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__;s__
OTU-15374	36.2271	14	9	0.308	4.009	1668549	4	1824	1806723	138174	331	231	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__;s__
OTU-15415	59.66607	14	5	0.469	5.202	1939218	5	1926	2223717	284499	704	200	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
OTU-15490	36.9578299999999	14	7	0.255	2.7	1998042	5	2067	2297311	299269	401	127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
