locus_tag	tts_position	gff_matched	confidence	note
CDIF630nc_068	2156463	否	无法确定	locus tag(CDIF630nc_068)未命中且坐标(2156463-2156592)处无唯一GFF特征, 需人工核查
CDIF630nc_077	2664805	否	无法确定	locus tag(CDIF630nc_077)未命中且坐标(2664802-2664944)处无唯一GFF特征, 需人工核查
CP010905.2:2891850..2891947	2891974	否	无法确定	坐标处无唯一GFF特征, 需人工核查
CDIF630nc_081	2892878	否	无法确定	locus tag(CDIF630nc_081)未命中且坐标(2892749-2893028)处无唯一GFF特征, 需人工核查
CDIF630nc_081	2893028	否	无法确定	locus tag(CDIF630nc_081)未命中且坐标(2892749-2893028)处无唯一GFF特征, 需人工核查
CDIF630nc_085	3000453	否	无法确定	locus tag(CDIF630nc_085)未命中且坐标(3000253-3000454)处无唯一GFF特征, 需人工核查
CDIF630nc_088	3121968	否	无法确定	locus tag(CDIF630nc_088)未命中且坐标(3121967-3122081)处无唯一GFF特征, 需人工核查
CDIF630nc_089	3181314	否	无法确定	locus tag(CDIF630nc_089)未命中且坐标(3181311-3181637)处无唯一GFF特征, 需人工核查
CDIF630nc_093	3364878	否	无法确定	locus tag(CDIF630nc_093)未命中且坐标(3364734-3365019)处无唯一GFF特征, 需人工核查
CDIF630nc_093	3365019	否	无法确定	locus tag(CDIF630nc_093)未命中且坐标(3364734-3365019)处无唯一GFF特征, 需人工核查
CDIF630nc_094	3364754	否	无法确定	locus tag(CDIF630nc_094)未命中且坐标(3364806-3364949)处无唯一GFF特征, 需人工核查
CDIF630nc_095	3365392	否	无法确定	locus tag(CDIF630nc_095)未命中且坐标(3365386-3365474)处无唯一GFF特征, 需人工核查
CDIF630nc_096	3382484	否	无法确定	locus tag(CDIF630nc_096)未命中且坐标(3382380-3382613)处无唯一GFF特征, 需人工核查
CDIF630nc_096	3382613	否	无法确定	locus tag(CDIF630nc_096)未命中且坐标(3382380-3382613)处无唯一GFF特征, 需人工核查
CDIF630_03180	3382370	否	无法确定	locus tag(CDIF630_03180)未命中且坐标(3382438-3382542)处无唯一GFF特征, 需人工核查
CP010905.2:3846174..3846289	3846408	否	无法确定	坐标处无唯一GFF特征, 需人工核查
CDIF630nc_104	3914317	否	无法确定	locus tag(CDIF630nc_104)未命中且坐标(3914480-3914560)处无唯一GFF特征, 需人工核查
CDIF630nc_104	3914183	否	无法确定	locus tag(CDIF630nc_104)未命中且坐标(3914480-3914560)处无唯一GFF特征, 需人工核查
CDIF630nc_131	3920003	否	无法确定	locus tag(CDIF630nc_131)未命中且坐标(3920003-3920393)处无唯一GFF特征, 需人工核查
CDIF630nc_132	3920144	否	无法确定	locus tag(CDIF630nc_132)未命中且坐标(3920144-3920393)处无唯一GFF特征, 需人工核查
CDIF630nc_133	3920144	否	无法确定	locus tag(CDIF630nc_133)未命中且坐标(3920216-3920393)处无唯一GFF特征, 需人工核查
CDIF630nc_108	4187078	否	无法确定	locus tag(CDIF630nc_108)未命中且坐标(4187077-4187214)处无唯一GFF特征, 需人工核查
orphan	215242	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	528758	否	无法确定	Location TTS=3UTR, 无基因关联/无坐标, 需人工核查
orphan	583101	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	602236	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	723918	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	1108972	否	无法确定	Location TTS=3UTR, 无基因关联/无坐标, 需人工核查
CRISPR 3/4	1109667	否	无法确定	locus tag(CRISPR 3/4)未命中且无坐标, 需人工核查
CRISPR 3/4	1110193	否	无法确定	locus tag(CRISPR 3/4)未命中且无坐标, 需人工核查
CRISPR 3/4	1110490	否	无法确定	locus tag(CRISPR 3/4)未命中且无坐标, 需人工核查
orphan	1127044	否	无法确定	Location TTS=3UTR, 无基因关联/无坐标, 需人工核查
orphan	1127063	否	无法确定	Location TTS=3UTR, 无基因关联/无坐标, 需人工核查
orphan	1230866	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	1418787	否	无法确定	Location TTS=3UTR, 无基因关联/无坐标, 需人工核查
CRISPR 6	1419514	否	无法确定	locus tag(CRISPR 6)未命中且无坐标, 需人工核查
orphan	1559666	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
CRISPR 7	1630785	否	无法确定	locus tag(CRISPR 7)未命中且无坐标, 需人工核查
orphan	1673979	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	1675819	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
CRISPR 8	1740923	否	无法确定	locus tag(CRISPR 8)未命中且无坐标, 需人工核查
CRISPR 8	1741056	否	无法确定	locus tag(CRISPR 8)未命中且无坐标, 需人工核查
orphan	1855703	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	1918141	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
CRISPR 9	1920127	否	无法确定	locus tag(CRISPR 9)未命中且无坐标, 需人工核查
orphan	1981454	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	2056747	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	2552054	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	2644394	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
CRISPR 11	2648474	否	无法确定	locus tag(CRISPR 11)未命中且无坐标, 需人工核查
orphan	2822260	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
CRISPR 12	2892495	否	无法确定	locus tag(CRISPR 12)未命中且无坐标, 需人工核查
CRISPR 15/16	3381303	否	无法确定	locus tag(CRISPR 15/16)未命中且无坐标, 需人工核查
CRISPR 15/16	3381600	否	无法确定	locus tag(CRISPR 15/16)未命中且无坐标, 需人工核查
CRISPR 15/16	3382125	否	无法确定	locus tag(CRISPR 15/16)未命中且无坐标, 需人工核查
orphan	3616893	否	无法确定	Location TTS=orphan, 无基因关联/无坐标, 需人工核查
orphan	4066749	否	无法确定	Location TTS=3UTR, 无基因关联/无坐标, 需人工核查
